,Reward,Feedback
0,13.0,3
1,19.0,5
2,14.0,1
3,15.0,4
4,9.0,1
5,10.0,0
6,10.0,0
7,12.0,1
8,11.0,2
9,12.0,4
10,15.0,4
11,14.0,4
12,10.0,1
13,13.0,4
14,75.0,17
15,11.0,5
16,54.0,13
17,70.0,9
18,40.0,8
19,24.0,2
20,18.0,7
21,11.0,3
22,20.0,6
23,13.0,5
24,15.0,3
25,33.0,7
26,12.0,3
27,48.0,14
28,14.0,4
29,9.0,2
30,18.0,4
31,22.0,4
32,17.0,5
33,14.0,5
34,28.0,9
35,27.0,10
36,30.0,6
37,50.0,13
38,45.0,12
39,49.0,12
40,31.0,8
41,24.0,5
42,32.0,9
43,22.0,3
44,42.0,12
45,37.0,6
46,61.0,14
47,42.0,13
48,32.0,4
49,58.0,16
50,52.0,15
51,41.0,7
52,31.0,7
53,37.0,11
54,62.0,14
55,24.0,8
56,22.0,9
57,200.0,43
58,36.0,10
59,126.0,31
60,121.0,29
61,200.0,64
62,108.0,29
63,57.0,12
64,69.0,13
65,89.0,18
66,110.0,23
67,41.0,8
68,51.0,10
69,44.0,13
70,91.0,18
71,37.0,6
72,80.0,16
73,87.0,19
74,98.0,18
75,123.0,32
76,78.0,15
77,82.0,22
78,135.0,30
79,61.0,19
80,131.0,25
81,53.0,12
82,73.0,15
83,123.0,32
84,123.0,37
85,171.0,35
86,81.0,18
87,112.0,26
88,90.0,17
89,195.0,44
90,200.0,46
91,175.0,39
92,99.0,21
93,136.0,29
94,79.0,16
95,98.0,22
96,88.0,22
97,178.0,43
98,129.0,37
99,105.0,27
100,95.0,18
101,148.0,27
102,200.0,44
103,200.0,45
104,115.0,20
105,126.0,33
106,50.0,11
107,118.0,23
108,120.0,28
109,127.0,32
110,172.0,47
111,157.0,39
112,200.0,47
113,117.0,31
114,163.0,40
115,119.0,30
116,200.0,54
117,200.0,52
118,169.0,32
119,153.0,29
120,200.0,43
121,121.0,27
122,116.0,24
123,97.0,30
124,142.0,33
125,200.0,49
126,136.0,33
127,151.0,38
128,159.0,35
129,162.0,41
130,100.0,23
131,133.0,32
132,122.0,24
133,127.0,39
134,90.0,22
135,162.0,36
136,154.0,31
137,144.0,27
138,89.0,18
139,93.0,18
140,149.0,44
141,148.0,23
142,200.0,45
143,127.0,36
144,196.0,54
145,133.0,34
146,200.0,44
147,129.0,39
148,173.0,41
149,200.0,34
150,200.0,45
151,147.0,33
152,200.0,44
153,149.0,45
154,115.0,25
155,200.0,50
156,192.0,41
157,173.0,38
158,150.0,44
159,188.0,37
160,136.0,29
161,152.0,41
162,169.0,43
163,113.0,20
164,130.0,31
165,200.0,40
166,200.0,51
167,138.0,36
168,185.0,48
169,112.0,31
170,200.0,40
171,152.0,36
172,94.0,20
173,99.0,29
174,120.0,32
175,140.0,28
176,130.0,33
177,108.0,25
178,190.0,43
179,106.0,26
180,83.0,25
181,43.0,13
182,200.0,43
183,200.0,49
184,173.0,39
185,200.0,54
186,157.0,37
187,139.0,30
188,143.0,21
189,124.0,32
190,170.0,34
191,57.0,14
192,137.0,31
193,97.0,33
194,165.0,40
195,105.0,28
196,129.0,32
197,173.0,41
198,197.0,48
199,136.0,36
200,30.0,9
201,200.0,50
202,167.0,47
203,200.0,48
204,150.0,29
205,185.0,45
206,152.0,27
207,200.0,53
208,200.0,56
209,111.0,27
210,123.0,31
211,200.0,43
212,200.0,48
213,171.0,48
214,200.0,49
215,113.0,25
216,200.0,46
217,172.0,40
218,189.0,45
219,175.0,39
220,200.0,43
221,200.0,52
222,113.0,30
223,175.0,39
224,156.0,31
225,200.0,46
226,172.0,44
227,200.0,54
228,137.0,32
229,130.0,31
230,200.0,42
231,200.0,42
232,188.0,41
233,173.0,42
234,186.0,49
235,200.0,48
236,200.0,47
237,200.0,45
238,150.0,39
239,188.0,51
240,153.0,35
241,122.0,29
242,148.0,34
243,142.0,37
244,164.0,45
245,140.0,29
246,162.0,38
247,153.0,33
248,114.0,34
249,200.0,49
250,176.0,40
251,187.0,39
252,130.0,37
253,109.0,28
254,167.0,45
255,185.0,37
256,134.0,31
257,167.0,46
258,185.0,40
259,165.0,43
260,200.0,48
261,200.0,49
262,143.0,33
263,137.0,35
264,76.0,19
265,163.0,40
266,200.0,55
267,200.0,51
268,117.0,38
269,200.0,49
270,113.0,34
271,139.0,39
272,188.0,47
273,115.0,23
274,141.0,43
275,160.0,35
276,200.0,46
277,200.0,48
278,140.0,34
279,177.0,44
280,128.0,29
281,170.0,46
282,131.0,35
283,121.0,35
284,157.0,39
285,100.0,28
286,121.0,28
287,85.0,22
288,200.0,30
289,119.0,23
290,200.0,42
291,143.0,36
292,133.0,39
293,200.0,53
294,163.0,38
295,149.0,39
296,200.0,52
297,200.0,46
298,159.0,38
299,200.0,35
300,113.0,29
301,136.0,39
302,200.0,44
303,200.0,50
304,170.0,44
305,200.0,43
306,143.0,38
307,150.0,31
308,131.0,40
309,153.0,37
310,156.0,40
311,187.0,55
312,174.0,41
313,171.0,48
314,130.0,33
315,144.0,39
316,200.0,57
317,162.0,37
318,200.0,48
319,200.0,60
320,171.0,30
321,155.0,31
322,188.0,43
323,138.0,34
324,200.0,46
325,200.0,39
326,181.0,50
327,200.0,36
328,113.0,25
329,160.0,44
330,173.0,35
331,137.0,28
332,121.0,26
333,187.0,42
334,144.0,27
335,166.0,37
336,200.0,46
337,160.0,36
338,189.0,40
339,200.0,48
340,100.0,24
341,124.0,37
342,112.0,28
343,181.0,53
344,200.0,40
345,154.0,43
346,151.0,40
347,135.0,25
348,139.0,35
349,130.0,27
350,161.0,39
351,173.0,37
352,140.0,39
353,153.0,34
354,200.0,45
355,161.0,40
356,153.0,31
357,134.0,32
358,158.0,46
359,200.0,46
360,200.0,47
361,200.0,46
362,200.0,52
363,196.0,51
364,200.0,42
365,155.0,40
366,200.0,52
367,200.0,46
368,200.0,48
369,119.0,22
370,153.0,38
