,Reward,Feedback
0,28.0,16
1,21.0,12
2,25.0,14
3,14.0,6
4,23.0,12
5,29.0,14
6,12.0,7
7,12.0,7
8,27.0,13
9,19.0,9
10,12.0,6
11,44.0,20
12,20.0,6
13,17.0,7
14,33.0,19
15,30.0,19
16,41.0,26
17,51.0,35
18,15.0,6
19,14.0,5
20,14.0,5
21,11.0,3
22,9.0,4
23,17.0,10
24,11.0,2
25,23.0,12
26,13.0,4
27,35.0,21
28,21.0,11
29,13.0,4
30,32.0,19
31,19.0,10
32,28.0,16
33,15.0,4
34,91.0,49
35,97.0,50
36,43.0,12
37,54.0,29
38,97.0,44
39,37.0,16
40,54.0,26
41,69.0,30
42,67.0,35
43,77.0,36
44,78.0,37
45,165.0,88
46,72.0,36
47,174.0,72
48,154.0,82
49,131.0,67
50,126.0,47
51,144.0,55
52,121.0,49
53,131.0,63
54,144.0,67
55,127.0,61
56,118.0,53
57,188.0,83
58,140.0,62
59,161.0,74
60,200.0,100
61,161.0,74
62,168.0,82
63,159.0,81
64,145.0,73
65,187.0,91
66,188.0,85
67,164.0,75
68,200.0,92
69,200.0,82
70,200.0,86
71,154.0,74
72,200.0,101
73,200.0,97
74,143.0,75
75,200.0,100
76,200.0,94
77,200.0,99
78,135.0,62
79,200.0,94
80,167.0,83
81,200.0,96
82,200.0,100
83,200.0,90
84,200.0,95
85,200.0,93
86,200.0,94
87,190.0,88
88,200.0,92
89,200.0,108
90,159.0,79
91,181.0,85
92,161.0,84
93,200.0,104
94,180.0,80
95,200.0,96
96,200.0,98
97,200.0,97
98,123.0,59
99,200.0,91
100,200.0,88
101,200.0,95
102,200.0,93
103,200.0,105
104,183.0,87
105,112.0,52
106,200.0,94
107,200.0,86
108,200.0,99
109,200.0,90
110,200.0,87
111,154.0,74
112,200.0,102
113,190.0,96
114,200.0,99
115,200.0,99
116,200.0,80
117,200.0,93
118,200.0,95
119,200.0,100
120,200.0,81
121,200.0,97
122,200.0,99
123,200.0,98
124,200.0,93
125,200.0,98
126,200.0,105
127,200.0,95
128,200.0,92
129,200.0,97
130,200.0,93
131,200.0,88
132,200.0,106
133,200.0,94
134,119.0,56
135,133.0,59
136,200.0,92
137,200.0,89
138,200.0,91
139,200.0,97
140,200.0,91
141,200.0,92
142,200.0,92
143,200.0,101
144,200.0,107
145,200.0,101
146,136.0,65
147,200.0,114
148,176.0,81
149,200.0,105
150,194.0,87
151,200.0,99
152,200.0,104
153,142.0,71
154,200.0,93
155,200.0,102
156,200.0,92
157,200.0,84
158,200.0,98
159,200.0,91
160,200.0,95
161,200.0,83
162,143.0,57
163,200.0,96
164,200.0,102
165,200.0,104
166,200.0,104
167,200.0,88
168,175.0,87
169,199.0,102
170,200.0,103
171,200.0,105
172,200.0,96
173,200.0,91
174,200.0,97
175,200.0,85
176,181.0,84
177,200.0,97
178,200.0,93
179,200.0,94
180,200.0,95
181,200.0,97
182,200.0,91
183,200.0,80
184,180.0,87
185,200.0,92
186,200.0,98
187,200.0,91
188,200.0,107
189,200.0,102
