,Reward,Feedback
0,42.0,0
1,15.0,0
2,14.0,0
3,14.0,0
4,14.0,0
5,18.0,0
6,19.0,0
7,14.0,0
8,23.0,0
9,27.0,0
10,41.0,0
11,61.0,0
12,41.0,0
13,38.0,0
14,71.0,0
15,43.0,0
16,86.0,0
17,93.0,0
18,63.0,0
19,46.0,0
20,96.0,0
21,60.0,0
22,45.0,0
23,49.0,0
24,43.0,0
25,28.0,0
26,30.0,0
27,68.0,0
28,36.0,0
29,39.0,0
30,29.0,0
31,31.0,0
32,53.0,0
33,53.0,0
34,61.0,0
35,34.0,0
36,39.0,0
37,44.0,0
38,55.0,0
39,41.0,0
40,125.0,0
41,141.0,0
42,77.0,0
43,129.0,0
44,109.0,0
45,103.0,0
46,76.0,0
47,56.0,0
48,68.0,0
49,96.0,0
50,101.0,0
51,39.0,0
52,56.0,0
53,88.0,0
54,100.0,0
55,45.0,0
56,126.0,0
57,115.0,0
58,68.0,0
59,95.0,0
60,121.0,0
61,103.0,0
62,95.0,0
63,114.0,0
64,43.0,0
65,121.0,0
66,101.0,0
67,110.0,0
68,84.0,0
69,98.0,0
70,115.0,0
71,129.0,0
72,47.0,0
73,113.0,0
74,58.0,0
75,100.0,0
76,133.0,0
77,125.0,0
78,103.0,0
79,116.0,0
80,101.0,0
81,116.0,0
82,120.0,0
83,103.0,0
84,107.0,0
85,100.0,0
86,92.0,0
87,86.0,0
88,137.0,0
89,159.0,0
90,123.0,0
91,107.0,0
92,130.0,0
93,129.0,0
94,137.0,0
95,83.0,0
96,109.0,0
97,133.0,0
98,115.0,0
99,116.0,0
100,108.0,0
101,107.0,0
102,122.0,0
103,155.0,0
104,149.0,0
105,165.0,0
106,117.0,0
107,145.0,0
108,123.0,0
109,108.0,0
110,138.0,0
111,136.0,0
112,115.0,0
113,122.0,0
114,124.0,0
115,132.0,0
116,138.0,0
117,139.0,0
118,200.0,0
119,126.0,0
120,76.0,0
121,144.0,0
122,171.0,0
123,153.0,0
124,170.0,0
125,113.0,0
126,200.0,0
127,133.0,0
128,195.0,0
129,145.0,0
130,126.0,0
131,200.0,0
132,178.0,0
133,139.0,0
134,152.0,0
135,124.0,0
136,200.0,0
137,134.0,0
138,153.0,0
139,105.0,0
140,164.0,0
141,171.0,0
142,128.0,0
143,159.0,0
144,142.0,0
145,200.0,0
146,170.0,0
147,164.0,0
148,149.0,0
149,161.0,0
150,129.0,0
151,142.0,0
152,135.0,0
153,170.0,0
154,166.0,0
155,200.0,0
156,137.0,0
157,151.0,0
158,157.0,0
159,200.0,0
160,199.0,0
161,200.0,0
162,88.0,0
163,200.0,0
164,162.0,0
165,200.0,0
166,200.0,0
167,200.0,0
168,129.0,0
169,200.0,0
170,168.0,0
171,191.0,0
172,200.0,0
173,167.0,0
174,200.0,0
175,200.0,0
176,200.0,0
177,200.0,0
178,200.0,0
179,186.0,0
180,151.0,0
181,174.0,0
182,195.0,0
183,194.0,0
184,185.0,0
185,179.0,0
186,192.0,0
187,200.0,0
188,200.0,0
189,169.0,0
190,173.0,0
191,200.0,0
192,200.0,0
193,149.0,0
194,188.0,0
195,200.0,0
196,174.0,0
197,155.0,0
198,200.0,0
199,171.0,0
