#{"t_start": 1621881325.56631, "env_id": "CartPole-v0"}
r,l,t
29.0,29,0.018636
10.0,10,0.022852
10.0,10,0.026628
18.0,18,0.033496
17.0,17,0.039606
9.0,9,0.042878
15.0,15,0.048113
39.0,39,0.061795
23.0,23,0.069893
40.0,40,0.084069
15.0,15,0.089514
27.0,27,0.099529
20.0,20,0.106767
18.0,18,0.113341
24.0,24,0.121949
31.0,31,0.133078
34.0,34,0.146091
19.0,19,0.15287
17.0,17,0.158825
14.0,14,0.163745
33.0,33,0.17534
35.0,35,0.190521
12.0,12,0.195208
14.0,14,0.200937
27.0,27,0.210955
16.0,16,0.217595
13.0,13,0.223467
16.0,16,0.229197
17.0,17,0.235379
14.0,14,0.240391
15.0,15,0.245841
25.0,25,0.254919
9.0,9,0.258361
33.0,33,0.270079
18.0,18,0.276671
14.0,14,0.282236
19.0,19,0.290872
16.0,16,0.298467
64.0,64,0.322879
16.0,16,0.328671
12.0,12,0.333433
12.0,12,0.337803
36.0,36,0.350857
11.0,11,0.354824
15.0,15,0.360223
33.0,33,0.372029
14.0,14,0.377093
24.0,24,0.3859
11.0,11,0.389945
15.0,15,0.395711
28.0,28,0.405528
13.0,13,0.410162
14.0,14,0.415281
39.0,39,0.428806
14.0,14,0.433689
18.0,18,0.440461
13.0,13,0.445873
25.0,25,0.456886
19.0,19,0.46421
20.0,20,0.471556
14.0,14,0.477177
29.0,29,0.489845
17.0,17,0.497564
12.0,12,0.502966
13.0,13,0.508225
14.0,14,0.513399
60.0,60,0.536273
15.0,15,0.542217
30.0,30,0.553547
18.0,18,0.559976
40.0,40,0.574146
10.0,10,0.577729
36.0,36,0.591525
11.0,11,0.59548
15.0,15,0.600743
35.0,35,0.612865
13.0,13,0.617468
11.0,11,0.621309
17.0,17,0.627255
13.0,13,0.632039
59.0,59,0.653675
22.0,22,0.661323
9.0,9,0.664492
34.0,34,0.676255
14.0,14,0.681141
12.0,12,0.686769
21.0,21,0.696715
14.0,14,0.702669
22.0,22,0.711749
16.0,16,0.718636
30.0,30,0.732102
55.0,55,0.756955
11.0,11,0.761919
22.0,22,0.771765
21.0,21,0.781213
18.0,18,0.790058
44.0,44,1.598995
27.0,27,1.609937
31.0,31,1.621659
30.0,30,1.632982
49.0,49,1.651595
29.0,29,1.662117
24.0,24,1.670825
14.0,14,1.675935
11.0,11,1.679954
64.0,64,1.703949
39.0,39,1.71826
24.0,24,1.726955
54.0,54,1.7471
24.0,24,1.755795
38.0,38,1.769493
30.0,30,1.780407
18.0,18,1.787379
34.0,34,1.800294
15.0,15,1.805839
25.0,25,1.814872
30.0,30,1.825451
28.0,28,1.835404
28.0,28,1.845472
15.0,15,1.850765
26.0,26,1.859867
15.0,15,1.865174
29.0,29,1.87558
53.0,53,1.894794
48.0,48,1.911369
18.0,18,1.917619
15.0,15,1.922848
49.0,49,1.940692
16.0,16,1.946584
48.0,48,1.963242
59.0,59,1.984121
24.0,24,1.992788
39.0,39,2.006355
57.0,57,2.026285
24.0,24,2.034791
12.0,12,2.039199
15.0,15,2.044534
13.0,13,2.04922
22.0,22,2.056988
23.0,23,2.065268
15.0,15,2.070625
21.0,21,2.078006
19.0,19,2.084906
26.0,26,2.094492
22.0,22,2.102174
15.0,15,2.107654
36.0,36,2.120487
39.0,39,2.134372
14.0,14,2.139345
67.0,67,2.163503
11.0,11,2.167416
16.0,16,2.173078
36.0,36,2.185965
46.0,46,2.202329
13.0,13,2.206998
23.0,23,2.215173
26.0,26,2.224425
49.0,49,2.242023
30.0,30,2.252727
30.0,30,2.263507
23.0,23,2.271644
57.0,57,2.292762
14.0,14,2.298219
17.0,17,2.304445
16.0,16,2.310223
22.0,22,2.318194
130.0,130,3.014168
87.0,87,3.04509
39.0,39,3.059275
49.0,49,3.076357
65.0,65,3.099496
43.0,43,3.114892
29.0,29,3.12524
91.0,91,3.15764
14.0,14,3.162522
16.0,16,3.168221
67.0,67,3.192194
19.0,19,3.199149
25.0,25,3.207976
40.0,40,3.222333
42.0,42,3.23742
28.0,28,3.247795
18.0,18,3.254427
25.0,25,3.263431
76.0,76,3.292621
48.0,48,3.310625
23.0,23,3.319291
67.0,67,3.345043
44.0,44,3.361059
34.0,34,3.373431
41.0,41,3.389057
116.0,116,3.429951
34.0,34,3.44216
34.0,34,3.454329
17.0,17,3.460328
74.0,74,3.486716
31.0,31,3.498121
84.0,84,3.528293
82.0,82,3.561151
75.0,75,3.596948
25.0,25,3.609241
11.0,11,3.614713
45.0,45,3.636986
61.0,61,3.666449
48.0,48,3.689697
28.0,28,3.703255
32.0,32,3.718763
21.0,21,3.72897
13.0,13,3.735402
53.0,53,3.763671
39.0,39,4.464547
39.0,39,4.479019
129.0,129,4.527745
74.0,74,4.556007
108.0,108,4.597093
102.0,102,4.633602
63.0,63,4.656463
101.0,101,4.693842
46.0,46,4.711304
42.0,42,4.726872
15.0,15,4.73234
59.0,59,4.753083
68.0,68,4.776886
45.0,45,4.793718
13.0,13,4.798336
77.0,77,4.826013
86.0,86,4.856437
78.0,78,4.883849
119.0,119,4.924876
13.0,13,4.929479
23.0,23,4.937616
62.0,62,4.960007
53.0,53,4.978229
80.0,80,5.007295
152.0,152,5.061445
74.0,74,5.086869
67.0,67,5.110082
42.0,42,5.12457
44.0,44,5.140659
28.0,28,5.150759
19.0,19,5.157396
